Job Title,Job Description
Wordpress Developer,"Greetings of the day!!!!

Position- WordPress Developer/ SEO Executive

Location- Bhubaneswar

Type- Fulltime/ Day Shift

Salary- Negotiable
Skillset for WordPress Developer-*
*Strong proficiency in WordPress, Woocomerce*
*Strong knowledge in UI, JavaScript, jQuery, Ajax, HTML, CSS, Bootstrap*
Skillset for SEO Executive-*
*Handling Search Engine Optimization activities for our internal company websites *
* *Planning and implementing SEO strategies *
*Perform On-page and off-page activities to boost page rankings *
*Handling and managing social media accounts to brand our company and services *
*Updating the website or making any changes to the HTML layout *
*Uploading samples, new content on website etc. as and when needed *
*Working with Google Analytics, Stat counter and webmaster tools *
*Keyword analysis *
*Handle Google updates effectively to manage the ranking *
Job Type: Full-time
Schedule:
Day shift
Experience:
4: 1 year (Preferred)
Work Remotely:
No"
Node js developer,"Job Description
3+ years’ experience working on Node/Express and Angular Node JS, Angular Js HTML5, CSS, Node JS, JQuery and JavaScript stacks, MongoDB, Familiarity with event-driven, asynchronous I/O frameworks
Expertise in any Relational or NoSQL databases
Experience in developing RESTful/GraphQL APIs and microservices based applications
Comfortable with software development best practices: unit tests, code reviews, continuous integration, deployment, secure and clean code.
Experience is Linux development environment
Hands on development experience within microservice based architecture
Knowledge of server/client interactions (e.g. scalability, caching, Web application performance optimization, etc
Proficient understanding of cross-browser compatibility issues and ways to work around them"
Flutter Developer,"We are looking for Experienced & well knowledge in React Native & Flutter candidate. Please don't apply fresher & Basic Knowledge & Skill Developer.*
Responsibilities : -*
Build pixel-perfect, smooth UIs across both mobile platforms.
Develop new components and features for mobile app(s).
Diagnose and fix bugs and performance bottlenecks for performance that feels native.
Requirements : -*
Experience working with a JavaScript framework, preferably React/React Native/Flutter.
Firm grasp of the synchronous and asynchronous JavaScript and its nuances, including ES6+ syntax.
Understanding of Flexbox based mobile UI design Knowledge in React Native/Flutter and approach towards component based structuring.
Understanding of REST APIs & 3rd Party APIs, the document request model, and offline storage.
Familiarity with native build tools, like XCode, Gradle and state management libraries of React, like Redux, is an added advantage.
Good sense of design, animations and micro-interactions is a plus.
Kindly revert with your updated CV and acknowledge me the same.
Note : - Please don't Apply job if you can't travel till Bhayander. We don't want any Central & Harbour Line candidate. So please don't waste your time as well as our time. APPPLY IF YOU TRAVEL TILL BHAYANDER.*
Contract length: 3 - 6 months

Application Deadline: 10/10/2020

Expected Start Date: 12/10/2020

Job Types: Full-time, Temporary, Walk-In

Salary: ₹10,000.00 - ₹20,000.00 per month

Experience:
Flutter: 1 year (Preferred)
React Native: 1 year (Required)
React JS: 1 year (Required)
Total Work: 1 year (Required)
APIs Development: 1 year (Required)
Application Question:
Where are you located ?(Mention Station Name)
Programming Languages needed:
HTML (Required)
CSS (Required)
JavaScript (Required)
Java (Required)
PHP (Required)
Work Remotely:
No"
Machine Learning,"Company Description:
HireXP is committed to building collaborative teams of technically creative and talented individuals, and the company welcomes applications of interest from global talent.
We are trusted by the world's most innovative organizations. Our vision is to become the most trusted company to provide HR Automation Solutions in the world, through an unrelenting commitment to product quality and service excellence.
At HireXP, technology is at the heart of everything we do. We are doubling down on our -Technology First- approach that puts technology at the core of our growth strategy.

Explore the future with us:
Do what you love and map your own future: we support your passion and empower the individual capabilities
Be who you are and impact the world: we embrace and celebrate diversity and ideas
Perks and benefits:
Flexi working hours
Opportunity to learn the Startup Growth Strategy.
Job Description:

We are looking for a Machine Learning (ML) Engineer to help us create products using AI.

Responsibilities
Design models and pipeline for pre - processing of data and automatic classification based on Machine Learning /Artificial Intelligence models
Identify, analyse and interpret trends and patterns in complex data to provide answers to Operational/service questions
Present data and analysis in a clear and concise manner to allowing audience to quickly understand results and recommendations to make data-driven decisions
Study and transform data science prototypes
Research and implement appropriate ML algorithms and tools
Develop machine learning applications according to requirements
Select appropriate datasets and data representation methods
Run machine learning tests and experiments
Perform statistical analysis and fine-tuning using test results
Extend existing ML libraries and frameworks
Requirements
Proven experience as a Machine Learning Engineer or similar role
Understanding of data structures, data modelling and software architecture
Deep knowledge of math, probability, statistics and algorithms
Ability to write robust code in Python
Familiarity with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn)
Outstanding analytical and problem-solving skills
Experience in cloud services e.g. PaaS and SaaS, Rest API, serverless functions"
DevOps Engineer,"Requirements

Strong background in Linux/Unix Administration and Linux Shell scripting
Good experience with any or more of mentioned cloud infra providers : AWS, IBM, Azure and GCP.
Knowledge of relational and NoSQL databases, aware of Active-Active and Active-Passive database replica setup. NoSQL sharded database setup.
Hands-on experience on working with CI/CD tools like jenkins.
Hand-On Experience of working with Monitoring tools like Icinga.
Ability to communicate well in a team
Experience with centralized logging and monitoring
Experience with Agile methodology
Hands-on experience of working with containers and container orchestration Dockers and Docker Swarm or kubernetes.
Hands-on experience of working on Puppet or Chef or Ansible.
Good communicator / team worker.

Key Skills
AWS, CI/CD, TFS, Jenkins, MongoDB,Cassandra,NoSQL, MSSQL, Linux, Azure, VMware, GIT, Containers, SQL, GIT, Ansible, Icinga or Nagios, Scripting, splunk,loggly
Add On Skills
oneOps, openStack
Experience: 1-3years
Location: Noida/Hyderabad"
iOS Developer,"We are looking for an iOS developer who possesses a passion for pushing mobile technologies to the limits and will work with our team of talented engineers to design and build the next generation of our mobile applications.
Responsibilities
Design and build advanced applications for the iOS platform
Collaborate with cross-functional teams to define, design, and ship new features.
Unit-test code for robustness, including edge cases, usability, and general reliability.
Work on bug fixing and improving application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
Requirements
Proven working experience in software development
Working experience in iOS development
Have published one or more iOS apps in the app store
A deep familiarity with Objective-C and Cocoa Touch
Experience working with iOS frameworks such as Core Data, Core Animation, Core Graphics and Core Text
Experience with third-party libraries and APIs
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies
Solid understanding of the full mobile development life cycle
Job Types: Full-time, Walk-In
Salary: ₹50,000.00 - ₹70,000.00 per month
Schedule:
Flexible shift
Work Remotely:
Temporarily due to COVID-19"
Software Engineer,"Role Proficiency:Level of Proficiency:Independently develops error free code with high quality validation of applications, guides other developers and assists Lead 1 – Software EngineeringOutcomes:1. Understand and provide input to the application/feature/component designs; developing the same in accordance with user stories/requirements. 2. Code, debug, test, document and communicate product/component/features at development stages. 3. Select appropriate technical options for development such as reusing, improving or reconfiguration of existing components. 4. Optimise efficiency, cost and quality by identifying opportunities for automation/process improvements and agile delivery models 5. Mentor Developer 1 – Software Engineering and Developer 2 – Software Engineering to effectively perform in their roles 6. Identify the problem patterns and improve the technical design of the application/system 7. Proactively identify issues/defects/flaws in module/requirement implementation 8. Assists Lead 1 – Software Engineering on Technical design. Review activities and begin demonstrating Lead 1 capabilities in making technical decisionsMeasures of Outcomes:Measures:1. Adherence to engineering process and standards (coding standards) 2. Adherence to schedule / timelines 3. Adhere to SLAs where applicable 4. Number of defects post delivery 5. Number of non-compliance issues 6. Reduction of reoccurrence of known defects 7. Quick turnaround of production bugs 8. Meet the defined productivity standards for project 9. Number of reusable components created 10. Completion of applicable technical/domain certifications 11. Completion of all mandatory training requirementsOutputs Expected:Code:Develop code independently for the aboveConfigure:Implement and monitor configuration processTest:Create and review unit test cases, scenarios and executionDomain relevance:Develop features and components with good understanding of the business problem being addressed for the clientManage Project:Manage module level activitiesManage Defects:Perform defect RCA and mitigationEstimate:Estimate time, effort, resource dependence for one's own work and others' work, including modulesDocument:Create documentation for own work as well as perform peer review of documentation of others' workManage knowledge:Consume and contribute to project related documents, share point, libraries and client universitiesStatus Reporting:Report status of tasks assigned Comply with project related reporting standards/processRelease:Execute release processDesign:LLD for multiple componentsMentoring:Mentor juniors on the team Set FAST goals and provide feedback to FAST goals of menteesSkill Examples:1. Explain and communicate the design / development to the customer 2. Perform and evaluate test results against product specifications 3. Develop user interfaces, business software components and embedded software components 5 Manage and guarantee high levels of cohesion and quality 6 Use data models 7. Estimate effort, and resources required for developing / debugging features / components 8. Perform and evaluate test in the customer or target environment 9. Team Player 10. Good written and verbal communication abilities 11. Proactively ask for help and offer helpKnowledge Examples: 1. Appropriate software programs / modules 2. Technical designing 3. Programming languages 4. DBMS 5. Operating Systems and software platforms 6. Integrated development environment (IDE) 7. Agile methods 8. Knowledge of customer domain and sub domain where problem is solved"
Flutter Developer,"*Candidates having project closure experience will be preferred
*Strong in OOPS, functional Programming
*Exp with offline storage, threading, low battery usage and performance tuning

*Strong communication skills

1.00-3.00 Years

Bachelor Of Computer Application (B.C.A), Master in Computer Application (M.C.A)"
DevOps Engineer,"Job Description :
Hitachi Vantara combines technology, intellectual property and industry knowledge to deliver data-managing solutions that help enterprises improve their customers' experiences, develop new revenue streams, and lower the costs of business. Hitachi Vantara elevates your innovation advantage by combining IT, operational technology (OT) and domain expertise. Come join our team and our employee-focused culture, and help drive our customers' data to meaningful customer outcomes.

Responsibilities:
â€¢ Setup, monitor and maintain DevOps cloud-based SAAS products and solutions involving IoT, big data, microservices, Cloud, containers and machine learning
â€¢ Maintain security and data privacy, ensure compliance and perform required security, compliance and performance tests
â€¢ Work with architects on deployment architecture, security and CI/CD and then implement these on the cloud

Qualifications:
â€¢ 2 to 5 years' experience in a DevOps role in projects involving Java, NodeJS, J2EE, messaging, Microservices and Containers for complex, scalable, SAAS or enterprise grade products
â€¢ Experience in Big data technologies such as Spark, Cassandra, HDFS, Kafka, Druid, Hive, HBase, ELK stack in a complex Big Data product/project
â€¢ Experience with agile and Scrum
â€¢ Experience in implementing CI/CD using Jenkins/Bamboo and Chef/Ansible/Puppet/Terraform
â€¢ Infrastructure and APM monitoring using tools such as Zabbix, Nagios, Splunk, PagerDuty, Glowroot, AppDynamics etc.
â€¢ Experience with Docker and container orchestration using Kubernetes, Mesos or DC/OS
â€¢ Experience with AWS (preferable) or other popular CSP
â€¢ Experience with Big data operations and tuning
â€¢ Ability to work with distributed teams in a collaborative and productive manner
â€¢ Strong problem solving, analytical, design, architecture, decision-making and communication skills.
â€¢ Self-driven and motivated with the desire to work in a fast-paced, results-driven agile environment with varied responsibilities.
00-5.00 Years"
Java Developer,"Java Developer*
Summary Description: *
_*Temporarily work from home due to COVID-19. Once restrictions lifted, NOT 100% remote.*_ Requires at least 3 days a week on Site in Alexandria, VA and up to 2 days remote.

LTG Federal is seeking a software engineer in support of a concentrated effort at a large Federal Agency to bring legacy, high priority IT systems up to current and supported operating levels while also addressing critical needs for high availability, fail-over capability, decoupling of highly connected systems, and/or cloud-based solution implementations.
Job Specifications: *
· Designs, develops, documents, tests and debugs application software.

· Conducts analysis and collaborates with subject matter experts in the planning, design, development, and utilization of electronic data processing systems for information storage, processing, presentation, manipulation, display, or reporting.

· Provides software development support to translate the enterprise's strategy for legacy system upgrade/migration to the desired future state including support of both the development and execution of a transition plan

· Interacts at a variety of points within the customer organization and program governance processes to assist in implementation of the established transition plan

· Supports research and advises on the analysis of alternatives in the determination of upgrade, refactor, or other solution recommendations.

· Ensures a focus on incorporation of high availability, fail-over capability, decoupling of highly connected systems, and/or cloud-based solution implementations

· Conducts test driven development in the delivery of high quality code.

· Coordinates and collaborates with subject matter experts and other architect leads to ensure consistent application of customer mission objectives are met

· Leveraging domain expertise, develops comprehensive understanding of customer requirements and leads the development of a complete solution meeting all technical and functional requirements.
Required: *
· Working knowledge of object-oriented design and development skills.

· Experience in developing quality software products and shipping production ready software.

· Experience in building applications in Java using Spring Framework and Spring Boot.

· Good understanding of agile methodologies.

· Experience in building web applications using technologies like React JS or Angular JS.

· Experience in Oracle, PL/SQL and other RDBMS.

· Minimum 5-6 years of work experience with BA/BS degree or 4 years of work experience with Master’s degree.
Desired: *
· Experience with Database Consolidation and/or Separation, Data Migration from one Storage Platform to another

· Experience with Cloud Migration, Implementation, AWS Services, FedRAMP, System Integration capability

· Experience with Application Lifecycle Management (ALM), Rational ClearQuest/ClearCase, Rally, Subversion, Nexus, Jenkins, Sonar, Crystal Reports

· Experience with automation technologies like Puppet, Chef, Ansible, Selenium, Jenkins, Nexus, and Docker.

· Good understanding of Web Services protocols such as REST, SOAP and API design for extensibility and portability.

· Experience working with CI/CD tools for testing and deployment.

· AWS certifications or Java certifications is a plus.

Location: Alexandria, VA and possible remote

Clearance: Able to obtain Public Trust. Having a current Public Trust or higher clearance a Plus

Job Type: Full-time

Pay: $85,000.00 - $100,000.00 per year

Experience:
Angular: 3 years (Preferred)
Databases: 5 years (Preferred)
Java: 6 years (Preferred)
Work Location:
One location
Benefits:
Health insurance
Dental insurance
Vision insurance
Retirement plan
Paid time off
Tuition reimbursement
Schedule:
Monday to Friday
Company's website:
www.ltgfederal.com
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
Temporarily due to COVID-19"
Node js developer,"The iOS Swift Developer will be an individual contributor in a project that's already up and running on android. You must have Knowledge of:
1. Swift (9/10 or more)
2. realm.io (8/10 or more)
3. Node Js (8/10 or more)
4. REST API (to fetch and Exchange data - postman)
4. Sqlite (7/10 or more)
You will have an opportunity to apply your skills and expertise to design an innovative application that solves complex problems and enhance performance and productivity.
Key Responsibilities :
Adapt Design, implement, deliver, test innovative iOS Swift applications while understanding our products from both a technical and product perspective
Communicate with leadership, product owners, other technologists, and users to create working software based on an understanding of business and technical priorities
Break down complex problems into elegant technical solutions to intelligently solve problems
Actively contribute to the adoption of strong software architecture, development of best practices, and new technologies.
Application Deadline: 18/12/2020
Job Type: Full-time
Salary: ₹368,861.00 - ₹942,680.00 per year
Benefits:
Cell phone reimbursement
Commuter assistance
Flexible schedule
Health insurance
Internet reimbursement
Paid sick time
Paid time off
Work from home
Schedule:
Day shift
Supplemental Pay:
Performance bonus
Yearly bonus
Experience:
total work: 1 year (Required)
Programming Languages needed:
Swift (Required)
Work Remotely:
Temporarily due to COVID-19"
PHP Developer,"Key Responsibilities: -
Working in a cross-functional team, collaborating with peers during the entire SDLC
Good hands-on programming skills with Codeigniter & Core PHP, Laravel, CakePHP, Zend for application development & Magento experience will be an advantage, Must have good knowledge of OOPS Concepts.
Responsible for the creation and implementation of a wide variety of Web-based products using PHP, JavaScript, MySQL and AJAX, JQuery, HTML.
Develop, record and maintain cutting edge web-based PHP applications on portal plus premium service platforms.
Ensure to resolve identified issues related to PHP development to different customers varying from senior managers to varied technical personnel.
Required Skills: -
Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3
Familiarity with SQL/NoSQL databases and their declarative query languages.
Strong familiarity with Git,with REST API.
Good web application troubleshooting, debugging skills
Job Types: Full-time, Volunteer, Walk-In

Salary: ₹10,470.00 - ₹43,036.00 per month

Schedule:
Day shift
Supplemental Pay:
Overtime pay
Experience:
software development: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Licence:
Core PHP (Preferred)
Programming Languages needed:
Python (Preferred)
Work Remotely:
Temporarily due to COVID-19"
PHP Developer,"Hiring for PHP- Laravel Developers

Experience: 3-5 years

Location: Kinfra Park, Trivandrum

Candidate should have at least 1 year experience with laravel framework

Job Type: Full-time

Work Remotely:
* Temporarily due to COVID-19"
DevOps Engineer,"As an industry leader and Software-as-a-Service provider our mission at 8x8, Inc. (NYSE:EGHT) is to transform the future of business communications. The 8x8 Open Communications Platform (TM) uniquely brings together Voice, Video, Collaboration, Contact Center, and enterprise-class API solutions, helping businesses across the globe transform their customer and employee experience, and empowering workforces worldwide to work smarter.

For additional information, visit www.8x8.com, or follow 8x8 on LinkedIn, Twitter, and Facebook.

We are looking for a DevOps Engineer to take part in the development of our communication platform. You will be part of the Engineering team, responsible for automated deployments, ensuring highest reliability and scalability of our production services and efficiently manage our cloud platform infrastructure.

Our ideal candidate is a professional with experience in automating deployments with modern configuration and deployment management systems. He/She requires a broad knowledge of systems, servers, load balancers, storages, security, networking and some background in programming. We are using cloud infrastructure (AWS), containerization, CI and CD process.
Main Responsibilities:
Automate builds, deployments and other aspects of release lifecycle
Maintain and improve cloud platform infrastructure and configure auto-scaling
Architecture and develop Docker-based infrastructure
Find solutions to problems that disrupt availability, performance and stability of our systems
Work in conjunction with development and operations team to understand requirements for functionality, performance and security of applications
Explore and maintain understanding of the internal architecture and client requirements to our applications
Manage the processes of deployments using blue-green deployment pattern whenever possible
Implement the tools and processes for monitoring servers and services
Ensure proper backup and restore when failure occurs
Suggest ways to improve and reduce operational costs with adaptive performance tuning
Investigate and develop skills in new technologies, collaborate across the company
Desired Skills and Experience:

Computer Science degree, or equivalent experience
Practical experience of building and operating platform in AWS (EC2, ECS, ELB, VPC)
Experienced in Jenkins
Strong experience in managing high-load and auto-scaling production environment
Programming experience in any scripting language (like Python)
7+ years of experience working on admin level with Linux and Windows
Experience working with configuration management frameworks like Puppet, Chef, Ansible
Strong experience in managing cluster setup of RabbitMQ, Redis, Mongodb.
Strong in Docker and Kubernetes
Familiar with Terraform and Spinnaker
Familiar with ELK stack and central log management
Cloud monitoring tools
Bonus points for experience with the followings:
Experience of working in Agile environment, in a close collaboration with developers

Qualifications
Degree in Engineering from a leading university
Written and verbal fluency in English is required

Remuneration
Competitive salary with attractive bonus


8x8 is proud to provide equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics.

For 8x8 jobs located in the US: 8x8 participates in the E-Verify program.
View the Participant Poster in English | Español.
View the Right to Work Poster in English | Español.

We also provide reasonable accommodation to individuals with disabilities in accordance with applicable laws. Learn more or email us at careers@8x8.com (Include “Reasonable Accommodation” in the subject line)

For European Job Applicants our Job Applicant Privacy Notice can be found here."
Wordpress Developer,"Please write back with your CV to and hr@rabsnetsolutions.com.
Designation: WordPress Developer

Primary skills:
Educational Qualification: Bsc.IT/Msc.IT/BCA/MCA/BE.IT

Job Description

We are seeking a WordPress Developer responsible for both back-end and front-end development, including creating WordPress themes and plugins. This position requires a combination of programming skills (namely PHP, HTML5, CSS3, and JavaScript) and aesthetics (understanding element arrangements on the screen, the color and font choices, and so on). The candidate should have a strong understanding of industry trends and content management systems. Experience with the responsive and adaptive design is strongly preferred. Also, an understanding of the entire web development process, including design, development, and deployment is preferred.

Responsibilities

Designing and implementing new features and functionality
Establishing and guiding the website’s architecture
Ensuring high-performance and availability, and managing all technical aspects of the CMS
Helping formulate an effective, responsive design and turning it into a working theme and plugin.

Skills and Qualifications

Good understanding of front-end technologies, including HTML5, CSS3, JavaScript, jQuery
Experience building user interfaces for websites and/or web applications
Experience designing and developing responsive design websites
Comfortable working with debugging tools like Firebug, Chrome inspector, etc.
Ability to understand CSS changes and their ramifications to ensure consistent style across platforms and browsers
Ability to convert comprehensive layout and wireframes into working HTML pages
Knowledge of how to interact with RESTful APIs and formats (JSON, XML)
Proficient understanding of code versioning tools {{such as Git, SVN, and Mercurial}}
Strong understanding of PHP back-end development"
DevOps Engineer,"DESCRIPTION

Job Department: Operations

Job Title: DevOps Engineer

Job Location: Bangalore, India

Job Description:

The Syncron Operations Team is seeking engineers that enjoy solving problems, working with customers, have a strong technical background in application management and software development including Terraform, Git, Gerrit, Jenkins and at least one popular programming language (Python preferred). Do you have experience as a Systems Administrator working with Linux or Unix and understand the advantages of working in a highly distributed virtual environment? Can you read and troubleshoot code snippets? You will be responsible for deploying, automating, maintaining, troubleshooting and improving the systems that keep the backend infrastructure running smoothly. The role requires you to have hands-on technical experience and a can-do approach towards environment automation / management and continuous improvement. The role will encompass the use of a broad range of AWS technologies including but not limited to EC2, RDS, Lambda, IAM, Athena, VPCs, Terraform, etc with an emphasis on the implementation of best practice cloud security principles If you fit the description, you might be the person we are looking for!

Responsibilities:

Troubleshoot application deployments, recreate customer issues, build proof of concept applications.
Apply advanced troubleshooting techniques to provide unique solutions to our customers' individual needs
Build and maintain the backbone of the Syncron infrastructure in AWS cloud
Build and maintain Terraform deployments, Jenkins pipelines and shell and Python scripts to automate and deploy AWS
Collaborate and help build utilities and tools for internal use that enable you and your fellow Syncron Engineers to operate safely at high speed and wide scale
Leverage your day-to-day experiences to provide feedback on customer experience to internal Syncron teams
Drive communication during critical events
Write tutorials, how-to, and other technical articles
Work on critical, complex problems that will span multiple AWS services and Syncron products
Learn and use groundbreaking technologies

Requirements:

Systems administration (Linux based Operation System)
2+ years of experience in a DevOps role, or experience setting up, maintaining and coordinating the automated patch and configuration management of production servers
Experience with Infrastructure as a Code tools, preferably Terraform
Experience with CI/CD tools, preferably Jenkins, particularly pipelines to automate deployment and maintenance of Linux application servers.
Programming/scripting with Python and/or Bash. Other languages a bonus
Experience managing full 3 tier application stacks from the OS up through custom applications
Excellent written and oral communication skills
Experience with AWS, GCP or Azure. AWS Certificates would be a plus

About Syncron

Syncron empowers the world’s leading manufacturers to maximize product uptime and deliver exceptional after-sales service experiences while driving significant revenue and profit improvements. From industry-leading investments in research and development to provide the fastest time-to-value, Syncron’s award-winning, cloud-based service parts inventory, price, order and uptime management solutions are designed to continually exceed customer expectations. Top brands from around the world trust Syncron to transform their after-sales service operations into competitive differentiators. For more information, visit syncron.com

As data controller of your personal data, we are required to provide you with several information to foster your data privacy rights. Please read them here."
Wordpress Developer,"We are looking to hire a skilled WordPress Developer to design and implement attractive and functional websites and Portals for our Business and Clients. You will be responsible for both back-end and front-end development including the implementation of WordPress themes and plugins as well as site integration and security updates.

To ensure success as a WordPress Developer, you should have in-depth knowledge of front-end programming languages, a good eye for aesthetics, and strong content management skills. Ultimately, a top-class WordPress Developer can create attractive, user-friendly websites that perfectly meet the design and functionality specifications of the client.
WordPress Developer Responsibilities:
Meeting with clients to discuss website design and function.
Designing and building the website front-end.
Creating the website architecture.
Designing and managing the website back-end including database and server integration.
Generating WordPress themes and plugins.
Conducting website performance tests.
Troubleshooting content issues.
Conducting WordPress training with the client.
Monitoring the performance of the live website.
WordPress Developer Requirements:
Bachelor’s degree in Computer Science or a similar field.
Proven work experience as a WordPress Developer.
Knowledge of front-end technologies including CSS3, JavaScript, HTML5, and jQuery.
Knowledge of code versioning tools including Git, Mercurial, and SVN.
Experience working with debugging tools such as Chrome Inspector and Firebug.
Good understanding of website architecture and aesthetics.
Ability to project manage.
Good communication skills.
Contract length: 12 months

Expected Start Date: 9/11/2020

Job Types: Full-time, Contract

Salary: ₹12,004.00 - ₹38,614.00 per month

Schedule:
Flexible shift
Experience:
Wordpress: 3 years (Required)
web designing: 2 years (Required)
total work: 3 years (Required)
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
Machine Learning,"Amazon strives to be Earth's most customer-centric company where people can find and discover virtually anything they want to buy online. By giving customers more of what they want - low prices, vast selection, and convenience - Amazon continues to grow and evolve as a world-class e-commerce platform. Amazon's evolution from Web site to e-commerce partner to development platform is driven by the spirit of innovation that is part of the company's DNA.

Amazon Seller Services is looking for a Data Scientist to work hands on from concept to delivery on statistical analysis, prescriptive and predictive analysis, and machine learning implementation projects. We are looking for a problem solver with strong analytical skills and a solid understanding of statistics & Machine learning algorithm as well as a practical understanding of collecting, assembling, cleaning and setting up disparate data from enterprise systems.
Responsibilities:

· Ability to understand a business problem and the available data and identify what statistical or ML techniques can be applied to answer a business question
· Given a business problem, estimate solution feasibility and potential approaches based on available data
· Understand what data is available, where, and how to pull it together. Work with partner teams where needed to facilitate permissions and acquisition of required data
· Quickly prototype solutions and build models to test feasibility of solution approach
· Build statistical models/ ML models, train and test them to and drive towards the optimal level of model performance
· Work with technology teams to integrate models by wrapping them as services that plug into Amazon's marketplace and fulfillment systems
· Work across the spectrum of reporting and data visualization, statistical modeling and supervised learning tools and techniques and apply the right level of solution to the right problem
· The problem set covers aspects of detecting fraud and abuse, improving performance, driving lift and adoption, recommend the right upsell to the right audience, cost saving, selection economics and several others.

Basic Qualifications

· A MS or PhD in Computer Science or Machine learning or Operational research or Statistics or in a quantitative field.
· 5+ year of experience and an advanced degree in a technical field, preferably statistics, math or computer science is desired
· A very strong grounding in applied statistical modeling and a very strong grasp of statistical concepts. Must be comfortable in the world of numbers, models, and algorithms
· A strong level of proficiency in Python is required
· Willingness to dive deep and work on difficult and ambiguous problems with unknown outcomes.
· Ability to partner and work efficiently with partner teams and stakeholders is critical.
· Strong grasp of machine learning, data mining and data analytics techniques
· Strong Problem solving ability.
· Understanding of how to apply predictive and machine learning techniques like logistic regression, random forest, GBM, Neural Nets, SVM etc is required
· Understanding of databases (RDBMS, NOSQL) from a perspective how to write queries and pull data from them is essential.

Preferred Qualifications

· A strong level of proficiency in SAS, R is preferred
· Past experience of putting Machine Learning model in production is preferred.
· Past publications in journals of repute.
· Conceptual understanding of Hadoop and cloud computing like AWS is preferred
· Demonstrated participation in contests like Kaggle is a plus
· Experience in the eCommerce, marketplace or supply chain areas is a plus."
JavaScript Developer,"Javascript developers

As a javascript developer you’ll be responsible for creating frontend application using angular and other similar frameworks.

You’ll be working with an amazing team of frontend developers to package JS applications to be deployed on iOS and android devices.

You will need to have experience in integrating different third party APIs using JS, to provide functionality to our websites and apps.

Experience with frontend development frameworks, jQuery and Git will be a bonus.

Email your CV"
DevOps Engineer,"Experience 5-10 Years
Work location Bangalore
Base location Bangalore
CTC/Budget 20-24 LPA
Technology AWS , CLOUD, DEVOPS
Additional Information

We have an opportunity with with one of our reputed client in Bangalore for DevOps Engineer .

Exp: 5-8 Years, CTC :20-24 LPA (Inclusive 8% Variable)

Interview Process: Questionnaire + WebEx Round (Should be available to complete assignment in weekdays and should be ready for 90 Min WebEx round)

Skill Required (Technical)

Incidents,Production,CI/CD,designing,JBoss,Testing,solution selling,cloud,schedules,indian institute of Technology,QA,aws,SDLC,implementation,solution,devops,automation,Apache Tomcat,scripting,planning,Leadership HIring,developing,Production support,logistic documentation,infrastructure,application development,product development,Python,life insurance,django,perl scripting,Quality Assurance,technology,coordination,IT infrastructure,Processes,transformation,IT product,Java,architecture,support,maintenance,Linux,Advance Excel,Ruby on Rails,strategy,reporting,Automation Testing,tomcat,Solr,orchestration

Skill Required (Other)

Very Good communication skills

Ready to work in bangalore

Responsibilities"
